classification_ethnologue,classification_glottolog,classification_wals,code_glottolog,code_iso,code_wals,description,ethnologue_family,glottolog_family,id,jsondata,latitude,long_extinct,longitude,markup_description,name,number_of_speakers,pk,recently_extinct,txt,wals_family,wals_genus,wordlist_pk,year_of_extinction
"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian","Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,LowFranconian,Afrikaansic",IE.GERMANIC,afri1274,afr,afr,,Indo-European,Indo-European,AFRIKAANS,{},-31.0,False,22.0,,Afrikaans,7225880,3687,False,"AFRIKAANS{IE.GERMANIC|Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian@Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,LowFranconian,Afrikaansic}
 1  -31.00   22.00     7225880   afr   afr
1 I	Ek //
2 you	y3i //
3 we	o*s //
11 one	en //
12 two	tw~e //
18 person	mE*s //
19 fish	fis //
21 dog	hont //
22 louse	lEis //
23 tree	bom //
25 leaf	blor //
28 skin	fEl //
30 blood	blut //
31 bone	ben //
34 horn	horiN //
39 ear	or //
40 eye	ox //
41 nose	nes //
43 tooth	tant //
44 tongue	toN //
47 knee	kni //
48 hand	hant //
51 breast	bors //
53 liver	lev3r //
54 drink	driNk //
57 see	sin //
58 hear	hor //
61 die	stErf, dotx~an //
66 come	kom //
72 sun	son //
74 star	stEr //
75 water	vat3r //
77 stone	klip //
82 fire	fur //
85 path	pat //
86 mountain	bErk //
92 night	nax //
95 full	fol //
96 new	nut, nuv3 //
100 name	nam //",IE,GERMANIC,3687,
"Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic","Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Alemannic",IE.GERMANIC,swis1247,gsw,alt,,Indo-European,Indo-European,ALSATIAN,{},48.5,False,7.5,,Alsatian,5724200,3688,False,"ALSATIAN{IE.GERMANIC|Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic@Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Alemannic}
 1   48.50    7.50     5724200   alt   gsw
1 I	ix //
2 you	di //
3 we	mir //
11 one	eins //
12 two	cvei //
18 person	%person //
19 fish	feS //
21 dog	hunt //
22 louse	lis //
23 tree	bam //
25 leaf	blet //
28 skin	hit //
30 blood	blu3t //
31 bone	knox3 //
39 ear	or //
40 eye	au //
41 nose	nos //
43 tooth	con //
44 tongue	cuN //
47 knee	kni //
48 hand	hont //
51 breast	bruSt //
53 liver	lEv3r //
54 drink	driNk~3 //
57 see	sE //
58 hear	her3 //
61 die	stErv3 //
66 come	kum3 //
72 sun	sun //
74 star	Stern3 //
75 water	vos3r //
77 stone	Stan //
82 fire	fir //
85 path	Stros //
86 mountain	bEri //
92 night	not //
96 new	nei //
100 name	nom3 //",IE,GERMANIC,3688,
"Indo-European,Germanic,West,HighGerman,German,UpperGerman,Bavarian-Austrian","Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Bayerisch",IE.GERMANIC,bava1246,bar,gau,,Indo-European,Indo-European,BAVARIAN_GERMAN,{},47.0,False,14.0,,Bavarian German,14359000,3689,False,"BAVARIAN_GERMAN{IE.GERMANIC|Indo-European,Germanic,West,HighGerman,German,UpperGerman,Bavarian-Austrian@Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Bayerisch}
 1   47.00   14.00    14359000   gau   bar
1 I	i //
2 you	tu //
3 we	mia //
11 one	oa //
12 two	cboa, cve //
18 person	menS //
19 fish	fiS //
21 dog	hunt //
23 tree	pam //
39 ear	3oa //
41 nose	nasa //
47 knee	kNia //
48 hand	hent //
57 see	seN //
61 die	kStorm //
66 come	kh~imd //
72 sun	sun //
75 water	vosa //
86 mountain	pEakh~ //
92 night	noht //
95 full	foy, foe //
96 new	naea //
100 name	nom //",IE,GERMANIC,3689,
"Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic","Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Alemannic",IE.GERMANIC,swis1247,gsw,alt,,Indo-European,Indo-European,BERNESE_GERMAN,{},47.0,False,7.42,,Bernese German,5724200,3690,False,"BERNESE_GERMAN{IE.GERMANIC|Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic@Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Alemannic}
 1   47.00    7.42     5724200   alt   gsw
1 I	ig //
2 you	du //
3 we	mir //
11 one	Eis //
12 two	cw~ei //
18 person	menS~ //
19 fish	fiS //
21 dog	huN //
22 louse	lus //
23 tree	boum //
25 leaf	blot //
28 skin	hut //
30 blood	bluet //
31 bone	xnoxe //
34 horn	horn //
39 ear	or //
40 eye	oug //
41 nose	nose //
43 tooth	coN //
44 tongue	cuNe //
47 knee	xnei //
48 hand	hoN //
51 breast	bruSt //
53 liver	lEbere //
54 drink	triNk~e //
57 see	gse //
58 hear	ghere //
61 die	StErbe //
66 come	xo //
72 sun	sunne //
74 star	StErn //
75 water	vosser //
77 stone	StEi, xemp~ //
82 fire	fir //
85 path	vEg //
86 mountain	bErg //
92 night	not //
95 full	fou //
96 new	nei //
100 name	nome //",IE,GERMANIC,3690,
"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian","Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,LowFranconian,Macro-Dutch,Middle-ModernDutch,ModernDutch",IE.GERMANIC,dutc1256,nld,dbr,,Indo-European,Indo-European,BRABANTIC,{},50.75,False,4.5,,Brabantic,23025430,3691,False,"BRABANTIC{IE.GERMANIC|Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian@Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,LowFranconian,Macro-Dutch,Middle-ModernDutch,ModernDutch}
 1   50.75    4.50    23025430   dbr   nld
1 I	ik, ik3 //
2 you	ga //
3 we	mE, vaEl3 //
11 one	i3n //
12 two	tvi3 //
18 person	mins //
19 fish	fis //
21 dog	ont //
22 louse	lo3s //
23 tree	bu3m //
25 leaf	blat //
28 skin	fEl //
30 blood	blut //
31 bone	bi3n //
34 horn	iEr3 //
39 ear	u3r //
40 eye	u3x //
41 nose	nes //
43 tooth	tant //
44 tongue	tuN //
47 knee	tnin //
48 hand	ant //
51 breast	bEst, bEstn //
53 liver	lEiv3r //
54 drink	driNk //
57 see	zi //
58 hear	u3r //
61 die	stEr3v //
66 come	kom //
72 sun	zon3 //
74 star	stEr //
75 water	vat3r //
77 stone	sti3n //
82 fire	fi //
85 path	vesk3 //
86 mountain	bEr3x //
92 night	nat //
95 full	fol //
96 new	nit, nif //
100 name	nam //",IE,GERMANIC,3691,
"Indo-European,Germanic,West,HighGerman,German,UpperGerman,Bavarian-Austrian","Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Bayerisch",IE.GERMANIC,cimb1238,cim,,,Indo-European,Indo-European,CIMBRIAN,{},45.92,False,11.32,,Cimbrian,2230,3692,False,"CIMBRIAN{IE.GERMANIC|Indo-European,Germanic,West,HighGerman,German,UpperGerman,Bavarian-Austrian@Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Bayerisch}
 1   45.92   11.32        2230         cim
1 I	ix //
2 you	du, dE //
3 we	bar //
12 two	sben //
18 person	menEs //
21 dog	hunt //
22 louse	laus //
23 tree	pom //
25 leaf	placa, lop //
30 blood	plut //
31 bone	poan //
34 horn	horn //
39 ear	oar //
40 eye	ogh~E //
41 nose	naza, kanipa //
44 tongue	suNa, gaprext //
48 hand	hant //
51 breast	prust, puzamEn //
53 liver	lEbara //
54 drink	trinkh~ //
57 see	zeg //
58 hear	hor //
61 die	sterb //
66 come	kh~Em //
72 sun	zuna //
74 star	stErna, stEarn //
75 water	basar //
77 stone	kh~noto, stoan //
82 fire	boar //
85 path	bEgale //
86 mountain	perg //
92 night	naxt //
95 full	bol, gabasEt //
96 new	noy //
100 name	namo //",IE,GERMANIC,3692,
"Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Riksmal,Danish","Indo-European,Germanic,NorthwestGermanic,NorthGermanic,SouthScandinavian",IE.GERMANIC,dani1285,dan,dsh,,Indo-European,Indo-European,DANISH,{},56.0,False,10.0,,Danish,5621380,3693,False,"DANISH{IE.GERMANIC|Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Riksmal,Danish@Indo-European,Germanic,NorthwestGermanic,NorthGermanic,SouthScandinavian}
 1   56.00   10.00     5621380   dsh   dan
1 I	yEy //
2 you	du //
3 we	vi //
11 one	e7n //
12 two	to7 //
18 person	mEnsk3 //
19 fish	fesk //
21 dog	hun7 //
22 louse	lus //
23 tree	trE7 //
25 leaf	blE8 //
28 skin	hu87 //
30 blood	blo87 //
31 bone	ben //
34 horn	ho7an //
39 ear	ea //
40 eye	ay3 //
41 nose	nEs3 //
43 tooth	tEn7 //
44 tongue	toN3 //
47 knee	knE7 //
48 hand	han7 //
51 breast	brest //
53 liver	lewa //
54 drink	drEg3 //
57 see	se7 //
58 hear	hea //
61 die	de7 //
66 come	kam3 //
72 sun	sol //
74 star	styEan3 //
75 water	vEn7 //
77 stone	sten //
82 fire	il7 //
85 path	sti7 //
86 mountain	by~Ew7 //
92 night	nEt //
95 full	ful7 //
96 new	ni7 //
100 name	naw7n //",IE,GERMANIC,3693,
"Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Riksmal,Danish","Indo-European,Germanic,NorthwestGermanic,NorthGermanic,SouthScandinavian",IE.GERMANIC,dani1285,dan,dsh,,Indo-European,Indo-European,DANISH_2,{},56.0,False,10.0,,Danish 2,5621380,3694,False,"DANISH_2{IE.GERMANIC|Indo-European,Germanic,North,EastScandinavian,Danish-Swedish,Danish-Riksmal,Danish@Indo-European,Germanic,NorthwestGermanic,NorthGermanic,SouthScandinavian}
 1   56.00   10.00     5621380   dsh   dan
1 I	yoy //
2 you	du //
3 we	vi //
4 this	dEd3 //
5 that	de //
6 who	vEm7 //
7 what	va //
8 not	eg3 //
9 all	al7d //
11 one	e7n //
12 two	to7 //
13 big	sdo7a //
14 long	loN7 //
15 small	lil3 //
16 woman	kven3 //
17 man	mon //
18 person	mennesg3 //
19 fish	fesg //
20 bird	fu7l //
21 dog	hun7 //
22 louse	lu7s //
23 tree	trE7 //
24 seed	se78 //
25 leaf	bla8 //
26 root	ro78 //
27 bark	boXg //
28 skin	hu87 //
29 flesh	ke87 //
30 blood	blo78 //
31 bone	be7n //
32 grease	fed //
33 egg	E7g //
34 horn	ho7rn //
35 tail	hal3 //
36 feather	fye7X //
37 hair	ho7r //
38 head	ho83 //
39 ear	er3 //
40 eye	oy3 //
41 nose	nEs3 //
42 mouth	mon7 //
43 tooth	tan7 //
44 tongue	toN3 //
45 claw	feN3Xnoi7l //
46 foot	fo78 //
47 knee	knE7 //
48 hand	hon7 //
49 belly	mav3 //
50 neck	hal7s //
51 breast	boX7m //
52 heart	yEad3 //
53 liver	le7v3r //
54 drink	dXeg3 //
55 eat	sbis3 //
56 bite	bi83 //
57 see	se7 //
58 hear	hea //
59 know	vi83 //
60 sleep	sow3 //
61 die	de7 //
62 kill	dXEb3 //
63 swim	svem3 //
64 fly	fliv3 //
65 walk	leb3 //
66 come	kom3 //
67 lie	leg3 //
68 sit	se83 //
69 stand	sdo7 //
70 give	gi7 //
71 say	si3 //
72 sun	so7l //
73 moon	mon3 //
74 star	sdyEan3 //
75 water	van7 //
76 rain	roy7n //
77 stone	sde7n //
78 sand	san7 //
79 earth	yo7r //
80 cloud	sgi7 //
81 smoke	roy7 //
82 fire	il7 //
83 ash	asg3 //
84 burn	bXEn3 //
85 path	sdi7 //
86 mountain	byEX7w //
87 red	re87 //
88 green	grEn7 //
89 yellow	gu7l //
90 white	wi8 //
91 black	sord //
92 night	nad //
93 hot	vo7m //
94 cold	kol7 //
95 full	ful7 //
96 new	ni7 //
97 good	go7 //
98 round	ron7 //
99 dry	tE7a //
100 name	now7n //",IE,GERMANIC,3694,
"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian","Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,LowFranconian,Macro-Dutch,Middle-ModernDutch,ModernDutch",IE.GERMANIC,dutc1256,nld,dbr,,Indo-European,Indo-European,DUTCH,{},52.5,False,6.0,,Dutch,23025430,3695,False,"DUTCH{IE.GERMANIC|Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian@Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,LowFranconian,Macro-Dutch,Middle-ModernDutch,ModernDutch}
 1   52.50    6.00    23025430   dbr   nld
1 I	ik //
2 you	yEi, y3 //
3 we	vEi, v3 //
11 one	en //
12 two	tve //
18 person	%pErson, mEns //
19 fish	vis //
21 dog	hont //
22 louse	l3is //
23 tree	bom //
25 leaf	blat //
28 skin	h3id, vEl //
30 blood	blut //
31 bone	ben //
34 horn	horn //
39 ear	or //
40 eye	oX //
41 nose	nes //
43 tooth	tant //
44 tongue	toN //
47 knee	kni //
48 hand	hant //
51 breast	borst //
53 liver	lev3r //
54 drink	driNk3n //
57 see	zin //
58 hear	hor3n //
61 die	stErv3n //
66 come	kom3n //
72 sun	zon //
74 star	ster //
75 water	vat3r //
77 stone	sten //
82 fire	vir //
85 path	pat, vEx //
86 mountain	bErx //
92 night	nat //
95 full	vol //
96 new	niu //
100 name	nam //",IE,GERMANIC,3695,
"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian","Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,LowFranconian,Macro-Dutch,Middle-ModernDutch,ModernDutch",IE.GERMANIC,dutc1256,nld,dbr,,Indo-European,Indo-European,DUTCH_2,{},52.5,False,6.0,,Dutch 2,23025430,3696,False,"DUTCH_2{IE.GERMANIC|Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian@Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,LowFranconian,Macro-Dutch,Middle-ModernDutch,ModernDutch}
 1   52.50    6.00    23025430   dbr   nld
1 I	ik //
2 you	y3, yEi //
3 we	w3, wEi //
4 this	dit //
5 that	dot //
6 who	wi //
7 what	wot //
8 not	nit //
9 all	olEs //
11 one	en //
12 two	twe //
13 big	xrot //
14 long	loN //
15 small	klEin //
16 woman	vrou //
17 man	mon //
18 person	mEns //
19 fish	vis //
20 bird	voxEl //
21 dog	hont //
22 louse	l3is //
23 tree	bom //
24 seed	zat //
25 leaf	blot //
26 root	wort3l //
27 bark	sxors //
28 skin	hEit //
29 flesh	vles //
30 blood	blut //
31 bone	bot, b3, knok //
32 grease	vEt //
33 egg	Ei //
34 horn	horn //
35 tail	start //
36 feather	ver, pl3im //
37 hair	har //
38 head	hoft //
39 ear	or //
40 eye	ox //
41 nose	nes //
42 mouth	mont //
43 tooth	tont //
44 tongue	toN //
45 claw	naxEl //
46 foot	vut //
47 knee	kni //
48 hand	hont //
49 belly	bEik //
50 neck	hols //
51 breast	buzEm //
52 heart	hort //
53 liver	levEr //
54 drink	drink3 //
55 eat	et3 //
56 bite	bEit3 //
57 see	zin //
58 hear	hor3 //
59 know	wet3 //
60 sleep	slap3 //
61 die	stErv3, ovErlEid3 //
62 kill	dod3 //
63 swim	zwEm3 //
64 fly	vlix3 //
65 walk	lop3 //
66 come	kom3 //
67 lie	lix3 //
68 sit	zit3 //
69 stand	stan //
70 give	xev3 //
71 say	zEx3 //
72 sun	zon //
73 moon	man //
74 star	ster //
75 water	wat3r //
76 rain	rex3 //
77 stone	sten //
78 sand	zont //
79 earth	ard3 //
80 cloud	wolk //
81 smoke	rok //
82 fire	vir //
83 ash	os //
84 burn	brond3 //
85 path	pot //
86 mountain	bErx //
87 red	rot //
88 green	xrun //
89 yellow	xel //
90 white	wit //
91 black	zwort //
92 night	noxt //
93 hot	worm //
94 cold	kaut //
95 full	vol //
96 new	niu //
97 good	xut //
98 round	ront //
99 dry	drox //
100 name	nam //",IE,GERMANIC,3696,
