,Afrikaans,Alsatian,Bavarian German,Bernese German,Brabantic,Cimbrian,Danish,Danish 2,Dutch,Dutch 2,Eastern Frisian,English,English 2,Faroese,Frans Vlaams,Frisian Western,Gjestal Norwegian,Gothic,Gronings,Hutterite German,Icelandic,Icelandic 2,Jamtlandic,Limburgish,Lower Silesian,Luxembourgish,North Frisian Amrum,Northern Low Saxon,Norwegian Bokmaal,Norwegian Bokmaal 2,Norwegian Nynorsk Toten,Norwegian Riksmal,Old English,Old Frisian,Old High German,Old Low Franconian,Old Norse,Old Saxon,Plautdietsch,Proto Germanic,Ripuarian German,Sallands,Sandnes Norwegian,Saxon Upper,Scots,Scots 2,Standard German,Standard German 2,Stellingwerfs,Swabian,Swedish,Swedish 2,Twents,Westvlaams,Wymysorys,Yiddish Eastern,Yiddish Western,Zeeuws
Afrikaans,0.0,0.3684210526315789,0.4782608695652173,0.5,0.325,0.5314285714285714,0.4375,0.4541666666666666,0.2625,0.3,0.41714285714285715,0.278125,0.35,0.45714285714285713,0.358974358974359,0.525,0.4238095238095238,0.4087301587301587,0.49137931034482757,0.42500000000000004,0.4821428571428571,0.575,0.46499999999999997,0.3875,0.4461538461538461,0.4358974358974359,0.38499999999999995,0.3,0.3833333333333333,0.3833333333333333,0.4333333333333333,0.3952380952380952,0.61875,0.46153846153846156,0.46153846153846145,0.4453125,0.515,0.4423076923076923,0.4871794871794873,0.608294930875576,0.4934210526315789,0.45161290322580644,0.4142857142857143,0.6089743589743589,0.35042735042735046,0.3194444444444444,0.475,0.49000000000000005,0.3625,0.5050000000000001,0.4291666666666666,0.4208333333333333,0.445,0.3025641025641025,0.4787878787878788,0.3833333333333333,0.3443223443223443,0.3375
Alsatian,0.3684210526315789,0.0,0.34848484848484845,0.2807017543859649,0.3991228070175439,0.45454545454545453,0.46491228070175444,0.42857142857142855,0.3789473684210526,0.30701754385964913,0.32352941176470584,0.3125,0.4736842105263157,0.41118421052631576,0.31578947368421045,0.39035087719298245,0.4809523809523809,0.4789915966386554,0.4047619047619048,0.25714285714285706,0.5075187969924811,0.4999999999999999,0.36466165413533835,0.2669172932330827,0.4000000000000001,0.27413127413127414,0.3464912280701754,0.23684210526315785,0.39473684210526316,0.3684210526315789,0.42982456140350866,0.44285714285714284,0.44298245614035076,0.3513513513513514,0.3918918918918919,0.3666666666666666,0.40977443609022557,0.3783783783783784,0.34684684684684675,0.4946236559139785,0.29365079365079366,0.4666666666666666,0.4761904761904762,0.2857142857142857,0.3667953667953668,0.3985507246376812,0.26691729323308266,0.2969924812030075,0.4421052631578948,0.31203007518796994,0.3834586466165413,0.41353383458646614,0.4947368421052632,0.4594594594594594,0.38020833333333337,0.3315789473684211,0.4162162162162163,0.36403508771929827
Bavarian German,0.4782608695652173,0.34848484848484845,0.0,0.3840579710144927,0.5304347826086956,0.44000000000000006,0.4855072463768115,0.5072463768115941,0.40579710144927533,0.4130434782608695,0.38095238095238093,0.41614906832298143,0.40372670807453426,0.4782608695652173,0.46956521739130447,0.40993788819875776,0.4666666666666666,0.5303030303030304,0.48148148148148157,0.4999999999999999,0.5093167701863353,0.5724637681159421,0.40579710144927544,0.5978260869565217,0.4470588235294118,0.41304347826086957,0.5130434782608695,0.391304347826087,0.4492753623188405,0.44927536231884063,0.47826086956521746,0.475,0.4927536231884058,0.46956521739130447,0.41304347826086957,0.4250000000000001,0.5144927536231884,0.4347826086956523,0.40151515151515144,0.5347222222222222,0.47826086956521746,0.46212121212121215,0.45,0.4318181818181818,0.44927536231884063,0.4215686274509804,0.42608695652173906,0.34057971014492755,0.5304347826086957,0.4673913043478261,0.45652173913043487,0.5072463768115942,0.47826086956521746,0.6363636363636364,0.3636363636363636,0.35403726708074534,0.4275362318840581,0.5217391304347827
Bernese German,0.5,0.2807017543859649,0.3840579710144927,0.0,0.5349999999999999,0.52,0.5208333333333333,0.46071428571428574,0.5,0.48500000000000004,0.3952380952380952,0.359375,0.45,0.5035714285714286,0.40598290598290604,0.53,0.4952380952380952,0.4236111111111111,0.5241379310344828,0.7083333333333333,0.5428571428571428,0.6083333333333334,0.4791666666666667,0.50625,0.5384615384615384,0.4512820512820511,0.4800000000000001,0.4,0.52,0.5050000000000001,0.4875,0.5428571428571428,0.525,0.4871794871794871,0.3186813186813187,0.44375,0.4875,0.3888888888888889,0.45641025641025645,0.5268817204301075,0.5526315789473685,0.5483870967741935,0.4857142857142857,0.4807692307692308,0.4444444444444444,0.4444444444444444,0.32916666666666666,0.55,0.495,0.4,0.585,0.5208333333333333,0.5650000000000001,0.4974358974358974,0.553030303030303,0.2928571428571428,0.37606837606837606,0.4333333333333333
Brabantic,0.325,0.3991228070175439,0.5304347826086956,0.5349999999999999,0.0,0.4523809523809524,0.4916666666666666,0.4875,0.375,0.35,0.43428571428571433,0.3464285714285714,0.37499999999999994,0.5035714285714286,0.2564102564102564,0.42000000000000004,0.4333333333333333,0.44444444444444436,0.4344827586206896,0.48750000000000004,0.5,0.5791666666666666,0.485,0.355,0.6057692307692307,0.3846153846153846,0.365,0.335,0.4291666666666667,0.41666666666666663,0.4666666666666667,0.42857142857142855,0.4416666666666667,0.5064102564102564,0.517948717948718,0.5390625,0.45,0.41538461538461535,0.4974358974358974,0.5564516129032258,0.45263157894736833,0.43870967741935485,0.42857142857142855,0.6282051282051282,0.41880341880341876,0.38888888888888884,0.575,0.49000000000000005,0.38125,0.54,0.4583333333333333,0.4625,0.465,0.36923076923076925,0.4494949494949494,0.3464285714285714,0.36263736263736257,0.32
Cimbrian,0.5314285714285714,0.45454545454545453,0.44000000000000006,0.52,0.4523809523809524,0.0,0.5428571428571428,0.49795918367346936,0.4914285714285713,0.40476190476190477,0.45555555555555555,0.37142857142857144,0.473469387755102,0.5102040816326531,0.4215686274509804,0.6057142857142856,0.6516129032258063,0.47465437788018433,0.5153846153846153,0.4307692307692308,0.49387755102040815,0.510204081632653,0.4952380952380953,0.4914285714285714,0.5916666666666667,0.4754901960784314,0.537142857142857,0.46285714285714286,0.6057142857142855,0.5238095238095237,0.5428571428571428,0.510752688172043,0.5542857142857144,0.5411764705882353,0.4294117647058824,0.5948275862068966,0.5047619047619047,0.45294117647058824,0.47058823529411764,0.6137566137566137,0.5352941176470587,0.4814814814814814,0.5376344086021505,0.40196078431372545,0.6058823529411765,0.5391304347826087,0.44571428571428573,0.5028571428571428,0.4685714285714285,0.41904761904761906,0.5333333333333332,0.5333333333333332,0.5257142857142856,0.4882352941176471,0.4533333333333333,0.3551020408163265,0.38725490196078427,0.5314285714285713
Danish,0.4375,0.46491228070175444,0.4855072463768115,0.5208333333333333,0.4916666666666666,0.5428571428571428,0.0,0.25,0.36071428571428565,0.37857142857142856,0.4685714285714285,0.334375,0.38928571428571423,0.5333333333333333,0.482051282051282,0.4333333333333333,0.43999999999999995,0.5601851851851852,0.4137931034482759,0.55,0.5083333333333334,0.5291666666666667,0.445,0.51,0.5192307692307693,0.375,0.425,0.3875,0.5583333333333333,0.4375,0.3666666666666667,0.36,0.4375,0.4307692307692308,0.47435897435897434,0.3839285714285714,0.3958333333333333,0.4410256410256411,0.4273504273504273,0.6267281105990785,0.3947368421052631,0.3870967741935484,0.4228571428571428,0.5487179487179487,0.4230769230769231,0.425,0.4833333333333333,0.39285714285714285,0.5050000000000001,0.54,0.41,0.43499999999999994,0.45,0.5333333333333334,0.5606060606060606,0.5,0.4139194139194139,0.5050000000000001
Danish 2,0.4541666666666666,0.42857142857142855,0.5072463768115941,0.46071428571428574,0.4875,0.49795918367346936,0.25,0.0,0.375,0.36742424242424243,0.43809523809523804,0.3591470258136925,0.39141414141414144,0.5708333333333334,0.4273504273504274,0.4791666666666667,0.46285714285714286,0.587962962962963,0.438423645320197,0.49999999999999994,0.46428571428571425,0.3507805325987145,0.41666666666666663,0.4291666666666666,0.5384615384615384,0.38782051282051283,0.4666666666666666,0.4125,0.475,0.3494949494949495,0.290625,0.3714285714285714,0.5083333333333333,0.3974358974358974,0.4285714285714286,0.39732142857142855,0.3714285714285714,0.40598290598290593,0.46153846153846156,0.592741935483871,0.41729323308270677,0.4101382488479263,0.4457142857142857,0.4957264957264957,0.34615384615384615,0.5083333333333333,0.5125,0.45165945165945165,0.52,0.475,0.3875,0.42087542087542085,0.4666666666666666,0.5384615384615384,0.5064935064935064,0.390625,0.36538461538461536,0.515
Dutch,0.2625,0.3789473684210526,0.40579710144927533,0.5,0.375,0.4914285714285713,0.36071428571428565,0.375,0.0,0.175,0.27346938775510216,0.275,0.35357142857142854,0.45,0.1904761904761905,0.4,0.41428571428571426,0.49074074074074076,0.31896551724137934,0.3875,0.475,0.575,0.3625,0.34375,0.4230769230769231,0.4166666666666667,0.46875,0.26,0.2964285714285714,0.2928571428571428,0.35,0.30612244897959184,0.47000000000000003,0.5213675213675213,0.48717948717948717,0.44791666666666663,0.375,0.29743589743589743,0.446153846153846,0.5161290322580645,0.4407894736842105,0.3870967741935483,0.3952380952380952,0.446153846153846,0.28937728937728935,0.2976190476190476,0.375,0.4,0.4666666666666666,0.515,0.35,0.32499999999999996,0.32999999999999996,0.36538461538461536,0.4787878787878788,0.365,0.39487179487179486,0.20833333333333331
Dutch 2,0.3,0.30701754385964913,0.4130434782608695,0.48500000000000004,0.35,0.40476190476190477,0.37857142857142856,0.36742424242424243,0.175,0.0,0.30612244897959184,0.33207070707070707,0.33207070707070707,0.46428571428571425,0.24175824175824182,0.4050000000000001,0.4095238095238095,0.4484126984126984,0.3448275862068966,0.453125,0.434375,0.3909090909090909,0.4041666666666666,0.35625,0.41538461538461535,0.48717948717948717,0.48125,0.3625,0.3142857142857142,0.34054834054834054,0.37142857142857144,0.326530612244898,0.485,0.4551282051282051,0.45641025641025623,0.625,0.37857142857142856,0.36923076923076925,0.5576923076923077,0.532258064516129,0.4473684210526316,0.4193548387096774,0.3904761904761905,0.4358974358974359,0.3040293040293041,0.2738095238095238,0.44000000000000006,0.3506493506493506,0.41875,0.5200000000000001,0.37142857142857144,0.39538239538239534,0.37,0.4166666666666667,0.4484848484848485,0.3791666666666667,0.31501831501831506,0.2583333333333333
